[I 12:56:29.126 NotebookApp] Serving notebooks from local directory: /home/sniper/work/test_suit/selenium
[I 12:56:29.126 NotebookApp] Jupyter Notebook 6.4.6 is running at:
[I 12:56:29.126 NotebookApp] http://localhost:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:29.126 NotebookApp]  or http://127.0.0.1:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:29.126 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 12:56:29.153 NotebookApp] 
    
    To access the notebook, open this file in a browser:
        file:///home/sniper/.local/share/jupyter/runtime/nbserver-12833-open.html
    Or copy and paste one of these URLs:
        http://localhost:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
     or http://127.0.0.1:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:36.779 NotebookApp] Creating new notebook in 
[I 12:56:37.545 NotebookApp] Kernel started: f167ffd0-1a4a-4aa8-83cc-803d0376230d, name: python3
[IPKernelApp] ERROR | No such comm target registered: jupyter.widget.version
[IPKernelApp] ERROR | No such comm target registered: jupyter.widget.version
[I 12:57:03.318 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[W 12:57:32.737 NotebookApp] Notebook preview_loadtesting_frontend_v1_1.ipynb is not trusted
[I 12:57:32.981 NotebookApp] Kernel started: 6ea9189f-d6cd-42a6-956d-f55eab0abd23, name: python3
[IPKernelApp] ERROR | No such comm target registered: jupyter.widget.version
[IPKernelApp] ERROR | No such comm target registered: jupyter.widget.version
[I 12:58:27.236 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 12:58:27.403 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 12:58:42.358 NotebookApp] Saving file at /preview_loadtesting_frontend_v1_1.ipynb
[W 12:58:42.359 NotebookApp] Notebook preview_loadtesting_frontend_v1_1.ipynb is not trusted
[I 12:58:42.451 NotebookApp] Starting buffering for 6ea9189f-d6cd-42a6-956d-f55eab0abd23:7f4b7ec40180456da3dc22907d395f31
[I 12:59:13.523 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:19.960 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:32.135 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:32.315 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:34.369 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:34.547 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:37.561 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:37.952 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:42.315 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:00:42.490 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:19.440 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:19.635 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:25.912 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:28.675 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:28.839 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:52.072 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:52.238 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:56.242 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:01:56.435 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:09.775 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:13.072 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:18.301 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:30.669 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:35.026 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:35.196 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:35.396 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:35.654 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:35.830 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:36.014 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:02:49.112 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:03:07.623 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:03:07.778 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:03:57.904 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:03:58.083 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:04:03.033 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:04:28.614 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:11.660 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:17.315 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:17.513 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:37.008 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:37.185 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:38.257 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:43.881 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:44.079 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:05:49.165 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
